member,party,state,chamber,raised,spent,cash_on_hand,debts
Abigail Spanberger,Democratic,Virginia,House,7719396.0,7449678.0,851851.0,0.0
Adam Kinzinger,Republican,Illinois,House,2192741.0,1243502.0,2472888.0,0.0
Adam Schiff,Democratic,California,House,20993041,13957854,20942888,0.0
Adam Smith,Democratic,Washington,House,1211111.0,1173466.0,623472.0,0.0
Adrian Smith,Republican,Nebraska,House,1617611.0,1664674.0,1098579.0,0.0
Adriano Espaillat,Democratic,New York,House,1178693.0,888437.0,392705.0,0.0
Al Green,Democratic,Texas,House,346571.0,289586.0,296791.0,50000.0
Al Lawson,Democratic,Florida,House,593604.0,522650.0,238345.0,0.0
Alan Lowenthal,Democratic,California,House,181286.0,288295.0,285025.0,0.0
Albio Sires,Democratic,New Jersey,House,204340.0,284473.0,128200.0,0.0
Alex Mooney,Republican,West Virginia,House,4262971.0,5856816.0,724272.0,0.0
Alex Padilla,Democratic,California,Senate,11253771,3870947.0,7617654.0,5703.0
Alexandria Ocasio-Cortez,Democratic,New York,House,11326505,9411406.0,5940454.0,0.0
Alma Adams,Democratic,North Carolina,House,838536.0,608400.0,576809.0,0.0
Aumua Amata Radewagen,Republican,American Samoa,Senate,54700.0,52064.0,3153.0,0.0
Ami Bera,Democratic,California,House,1355357.0,1143120.0,2241254.0,172800.0
Amy Klobuchar,Democratic,Minnesota,Senate,3234766.0,3363479.0,1122953.0,0.0
Andre Carson,Democratic,Indiana,House,725565.0,737136.0,976598.0,0.0
Andrew Clyde,Republican,Georgia,House,726917.0,666629.0,68396.0,1262363.0
Andrew Garbarino,Republican,New York,House,3184656.0,2567027.0,749483.0,0.0
Andy Barr,Republican,Kentucky,House,3447266.0,1797666.0,2004303.0,0.0
Andy Biggs,Republican,Arizona,House,1761000.0,1659510.0,752537.0,0.0
Andy Harris,Republican,Maryland,House,1757044.0,1253968.0,1546254.0,0.0
Andy Kim,Democratic,New Jersey,House,6069123.0,3538016.0,3082941.0,0.0
Andy Levin,Democratic,Michigan,House,2586972.0,2972880.0,42569.0,0.0
Angie Craig,Democratic,Minnesota,House,6817301.0,4821652.0,3027648.0,0.0
Angus King,Independent,Maine,Senate,81913.0,180532.0,290026.0,0.0
Ann Kirkpatrick,Democratic,Arizona,House,0.0,0.0,0.0,0.0
Ann Kuster,Democratic,New Hampshire,House,3873628.0,2283004.0,2663709.0,0.0
Ann Wagner,Republican,Missouri,House,4331508.0,2224183.0,2220767.0,0.0
Anna Eshoo,Democratic,California,House,1857034.0,1735758.0,674075.0,0.0
Anthony Brown,Democratic,Maryland,House,448866.0,493986.0,1072214.0,0.0
Anthony Gonzalez,Republican,Ohio,House,778998.0,608730.0,735203.0,0.0
Ashley Hinson,Republican,Iowa,House,6446790.0,4880484.0,1682977.0,0.0
